time,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8
14:42:23,21.0,1.0,15.8,0.0,12.9,0.0,9.9,0.0
14:42:24,17.8,0.0,10.1,0.0,7.1,0.0,5.0,0.0
14:42:25,33.3,2.0,31.0,4.0,27.7,3.0,22.0,4.0
14:42:26,8.8,2.0,6.9,0.0,7.0,0.0,3.0,0.0
14:42:27,14.0,0.0,9.9,0.0,5.9,2.0,5.0,0.0
14:42:28,8.9,0.0,5.0,1.0,5.0,0.0,4.0,0.0
14:42:29,8.1,0.0,5.0,0.0,5.0,0.0,3.0,1.0
14:42:30,9.9,1.0,7.9,0.0,3.0,0.0,2.0,0.0
14:42:31,8.9,0.0,6.0,0.0,5.0,0.0,3.0,0.0
14:42:32,9.9,0.0,7.0,0.0,4.0,0.0,3.0,0.0
14:42:33,11.0,0.0,12.9,4.0,6.0,1.0,4.0,2.0
14:42:34,8.0,0.0,8.0,1.0,5.9,0.0,3.0,0.0
14:42:35,13.0,1.0,10.0,1.0,12.9,1.0,7.9,1.0
14:42:36,7.9,0.0,5.9,0.0,6.0,0.0,2.0,0.0
14:42:37,10.0,0.0,5.9,0.0,5.0,0.0,5.0,0.0
14:42:38,8.9,1.0,5.0,1.0,5.0,1.0,5.0,0.0
14:42:39,7.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0
14:42:40,12.0,0.0,9.9,1.0,15.8,0.0,7.9,0.0
14:42:41,10.9,1.0,8.0,0.0,8.9,0.0,5.0,0.0
14:42:42,8.9,0.0,6.9,0.0,4.0,0.0,4.0,1.0
14:42:43,7.1,0.0,5.9,1.0,5.0,1.0,3.9,0.0
14:42:44,7.8,0.0,6.0,1.0,4.0,0.0,2.0,1.0
14:42:45,8.0,2.0,8.0,0.0,5.0,0.0,4.0,0.0
14:42:46,9.0,0.0,5.0,0.0,5.0,1.0,2.0,0.0
14:42:47,8.9,0.0,6.9,1.0,3.0,0.0,3.0,1.0
14:42:48,8.1,0.0,6.9,1.0,5.0,0.0,3.0,1.0
14:42:49,8.9,1.0,5.1,0.0,3.0,1.0,2.0,0.0
14:42:50,10.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0
14:42:51,9.0,0.0,6.9,0.0,5.0,1.0,4.0,0.0
14:42:52,17.6,0.0,24.0,2.0,8.0,0.0,10.0,1.0
14:42:53,12.1,2.0,8.9,0.0,7.0,1.0,7.9,1.0
14:42:54,8.9,0.0,7.0,0.0,5.9,0.0,2.0,0.0
14:42:55,9.0,0.0,7.9,1.0,2.0,0.0,4.0,0.0
14:42:56,8.0,1.0,6.0,0.0,5.0,0.0,4.0,0.0
14:42:57,12.0,0.0,6.9,0.0,4.0,1.0,5.0,1.0
14:42:58,8.9,1.0,5.9,0.0,5.0,1.0,3.0,0.0
14:42:59,8.0,0.0,5.0,1.0,3.0,0.0,3.0,0.0
14:43:00,8.9,0.0,6.0,1.0,3.0,0.0,3.0,0.0
14:43:01,8.0,0.0,6.0,0.0,4.0,0.0,3.0,1.0
14:43:02,18.0,1.0,8.1,0.0,6.0,1.0,5.0,0.0
14:43:03,13.0,0.0,7.0,3.0,6.0,0.0,6.9,1.0
14:43:04,8.9,0.0,5.9,0.0,5.9,0.0,2.0,0.0
14:43:05,9.0,1.0,5.9,1.0,4.0,0.0,2.0,0.0
14:43:06,21.0,3.0,22.2,2.0,17.8,3.0,17.0,4.0
14:43:07,29.0,4.0,27.7,5.0,20.2,5.0,18.0,5.0
