time,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8
15:58:06,17.0,16.0,5.1,2.0,0.0,0.0,0.0,0.0
15:58:07,27.0,26.0,7.0,4.0,2.0,1.0,0.0,0.0
15:58:08,14.0,13.0,9.0,4.0,1.0,0.0,0.0,0.0
15:58:09,13.0,13.1,6.0,2.0,0.0,0.0,0.0,0.0
15:58:10,18.2,17.8,4.0,0.0,4.0,0.0,0.0,0.0
15:58:11,18.0,17.2,5.9,3.0,0.0,0.0,0.0,0.0
15:58:12,17.8,17.0,7.0,0.0,1.0,0.0,0.0,0.0
15:58:13,11.1,13.1,1.0,1.0,0.0,0.0,0.0,0.0
15:58:14,37.0,38.4,9.9,4.0,6.0,2.9,2.0,0.0
15:58:15,24.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0
15:58:16,34.3,33.0,28.0,15.0,6.0,9.0,5.0,1.0
15:58:17,22.8,21.2,18.0,10.9,3.0,5.0,3.0,0.0
15:58:18,15.0,15.0,7.9,1.0,1.0,0.0,0.0,0.0
15:58:19,24.5,25.0,22.2,14.1,7.0,11.9,5.9,3.0
15:58:20,28.3,25.3,16.0,7.0,2.0,2.0,0.0,0.0
15:58:21,33.0,31.7,7.0,1.0,0.0,0.0,0.0,0.0
15:58:22,19.0,18.2,6.9,1.0,0.0,0.0,0.0,0.0
15:58:23,19.2,18.0,8.1,4.0,5.9,3.0,1.0,0.0
15:58:24,33.0,30.3,12.9,4.0,0.0,2.9,0.0,0.0
15:58:25,15.0,15.0,5.0,1.0,1.0,0.0,0.0,0.0
15:58:26,29.3,28.0,4.0,2.0,1.0,0.0,0.0,0.0
15:58:27,27.7,24.2,14.0,7.0,3.0,8.0,1.0,0.0
15:58:28,21.0,21.0,8.9,1.0,0.0,0.0,0.0,0.0
15:58:29,21.2,24.0,17.0,7.1,4.0,6.0,1.0,0.0
15:58:30,20.0,22.0,12.1,5.0,1.0,3.0,1.0,0.0
15:58:31,27.0,26.3,10.9,5.9,2.0,1.0,1.0,0.0
15:58:32,28.0,26.7,7.0,1.0,0.0,0.0,0.0,0.0
15:58:33,23.0,23.8,5.0,1.0,1.0,1.0,0.0,0.0
15:58:34,28.3,26.5,13.0,12.9,5.1,5.0,2.0,0.0
15:58:35,24.0,22.0,30.3,18.2,10.9,10.0,7.9,3.9
15:58:36,37.4,37.0,17.2,7.9,4.0,3.0,1.0,1.0
15:58:37,30.0,29.0,6.9,0.0,0.0,0.0,0.0,0.0
15:58:38,36.4,34.0,11.0,4.0,0.0,3.0,0.0,0.0
15:58:39,27.3,26.3,11.9,5.0,4.0,3.0,2.0,1.0
15:58:40,26.0,25.0,12.0,6.0,2.0,2.0,1.0,1.0
15:58:41,27.3,27.6,12.1,5.0,5.0,5.0,1.0,1.0
15:58:42,30.3,29.7,8.0,4.0,2.0,3.0,2.0,0.0
15:58:43,28.3,31.0,33.7,19.0,8.0,6.9,0.0,0.0
15:58:44,32.7,29.3,15.0,7.0,1.0,0.0,0.0,0.0
15:58:45,27.0,25.7,7.9,3.9,0.0,0.0,0.0,0.0
15:58:46,29.0,28.3,18.0,8.1,6.0,24.8,4.0,0.0
15:58:47,28.3,29.0,23.0,8.0,4.9,8.9,2.0,0.0
15:58:48,22.0,22.0,7.9,2.0,0.0,0.0,0.0,0.0
15:58:49,21.0,21.2,8.0,2.0,0.0,0.0,0.0,0.0
15:58:50,19.0,19.0,8.1,4.0,1.0,0.0,0.0,0.0
15:58:51,28.0,26.7,8.9,5.0,2.0,2.0,2.0,0.0
15:58:52,25.0,26.0,15.2,4.0,1.0,1.0,0.0,0.0
